Year,State,State Code,Deaths,Population,Crude Rate
1970,North Carolina,37,1254,5095097,24.6
1970,North Dakota,38,132,618433,21.3
1970,Ohio,39,3585,10672758,33.6
1970,Oklahoma,40,917,2564902,35.8
1970,Oregon,41,699,2093869,33.4
1970,Pennsylvania,42,3954,11807864,33.5
1970,Rhode Island,44,391,950100,41.2
1970,South Carolina,45,661,2595822,25.5
1970,South Dakota,46,174,667090,26.1
1970,Tennessee,47,1245,3933207,31.7
1970,Texas,48,3482,11230228,31.0
1970,Utah,49,150,1063939,14.1
1970,Vermont,50,143,445145,32.1
1970,Virginia,51,1385,4659549,29.7
1970,Washington,53,1088,3417820,31.8
1970,West Virginia,54,692,1747554,39.6
1970,Wisconsin,55,1095,4419132,24.8
1970,Wyoming,56,71,333243,21.3
1971,Alabama,1,1078,3503319,30.8
1971,Alaska,2,53,317012,16.7
1971,Arizona,4,600,1900461,31.6
1971,Arkansas,5,688,1975096,34.8
1971,California,6,6488,20347014,31.9
1971,Colorado,8,497,2305234,21.6
1971,Connecticut,9,944,3057560,30.9
1971,Delaware,10,185,565378,32.7
1971,District of Columbia,11,287,753476,38.1
1971,Florida,12,3510,7175434,48.9
1971,Georgia,13,1363,4717791,28.9
1971,Hawaii,15,140,802549,17.4
1971,Idaho,16,175,739758,23.7
1971,Illinois,17,3757,11214321,33.5
1971,Indiana,18,1728,5254207,32.9
1971,Iowa,19,934,2850320,32.8
1971,Kansas,20,793,2247606,35.3
1971,Kentucky,21,1160,3303591,35.1
1971,Louisiana,22,1303,3713808,35.1
1971,Maine,23,379,1016358,37.3
1971,Maryland,24,1371,4019719,34.1
1971,Massachusetts,25,1942,5733536,33.9
1971,Michigan,26,2721,8974164,30.3
1971,Minnesota,27,942,3848481,24.5
1971,Mississippi,28,693,2271036,30.5
1971,Missouri,29,1848,4726673,39.1
1971,Montana,30,209,711731,29.4
1971,Nebraska,31,458,1505413,30.4
1971,Nevada,32,174,520601,33.4
1971,New Hampshire,33,292,762420,38.3
1971,New Jersey,34,2663,7277865,36.6
1971,New Mexico,35,231,1055541,21.9
1971,New York,36,6839,18356459,37.3
1971,North Carolina,37,1368,5207765,26.3
1971,North Dakota,38,111,626719,17.7
1971,Ohio,39,3595,10741460,33.5
1971,Oklahoma,40,928,2622460,35.4
1971,Oregon,41,713,2149614,33.2
1971,Pennsylvania,42,4251,11882336,35.8
1971,Rhode Island,44,370,963783,38.4
1971,South Carolina,45,714,2666694,26.8
1971,South Dakota,46,165,672094,24.6
1971,Tennessee,47,1257,4015706,31.3
1971,Texas,48,3740,11533927,32.4
1971,Utah,49,151,1104169,13.7
1971,Vermont,50,142,454323,31.3
1971,Virginia,51,1469,4756532,30.9
1971,Washington,53,1203,3446521,34.9
1971,West Virginia,54,742,1773183,41.8
1971,Wisconsin,55,1162,4456250,26.1
1971,Wyoming,56,91,340281,26.7
1972,Alabama,1,1190,3541028,33.6
1972,Alaska,2,42,326586,12.9
1972,Arizona,4,558,2010557,27.8
1972,Arkansas,5,748,2018461,37.1
1972,California,6,6916,20567494,33.6
1972,Colorado,8,502,2403338,20.9
1972,Connecticut,9,990,3061896,32.3
1972,Delaware,10,216,573056,37.7
1972,District of Columbia,11,326,745086,43.8
1972,Florida,12,3882,7522728,51.6
1972,Georgia,13,1466,4807764,30.5
1972,Hawaii,15,174,828240,21.0
1972,Idaho,16,178,763407,23.3
1972,Illinois,17,3808,11252067,33.8
1972,Indiana,18,1866,5292507,35.3
1972,Iowa,19,926,2855438,32.4
1972,Kansas,20,748,2254267,33.2
1972,Kentucky,21,1240,3335801,37.2
1972,Louisiana,22,1432,3761076,38.1
1972,Maine,23,382,1033946,36.9
1972,Maryland,24,1460,4072805,35.8
1972,Massachusetts,25,2112,5750370,36.7
1972,Michigan,26,3062,9014281,34.0
1972,Minnesota,27,958,3858737,24.8
1972,Mississippi,28,764,2309917,33.1
1972,Missouri,29,1936,4751840,40.7
1972,Montana,30,218,718846,30.3
1972,Nebraska,31,462,1517247,30.4
1972,Nevada,32,186,546589,34.0
1972,New Hampshire,33,330,780678,42.3
1972,New Jersey,34,2762,7323158,37.7
1972,New Mexico,35,236,1078424,21.9
1972,New York,36,6930,18321228,37.8
1972,North Carolina,37,1408,5296527,26.6
1972,North Dakota,38,126,630758,20.0
1972,Ohio,39,3874,10736474,36.1
1972,Oklahoma,40,1028,2658621,38.7
1972,Oregon,41,768,2192728,35.0
1972,Pennsylvania,42,4608,11889039,38.8
1972,Rhode Island,44,384,974897,39.4
1972,South Carolina,45,738,2719860,27.1
1972,South Dakota,46,148,677239,21.9
1972,Tennessee,47,1368,4088236,33.5
1972,Texas,48,3976,11766356,33.8
1972,Utah,49,136,1136077,12.0
1972,Vermont,50,152,462654,32.9
1972,Virginia,51,1670,4825321,34.6
1972,Washington,53,1136,3440865,33.0
1972,West Virginia,54,816,1797513,45.4
1972,Wisconsin,55,1184,4488640,26.4
1972,Wyoming,56,84,346869,24.2
1973,Alabama,1,1249,3579861,34.9
1973,Alaska,2,47,332940,14.1
1973,Arizona,4,623,2125744,29.3
1973,Arkansas,5,839,2058222,40.8
1973,California,6,6981,20847325,33.5
1973,Colorado,8,488,2493738,19.6
1973,Connecticut,9,1122,3061705,36.6
1973,Delaware,10,212,578025,36.7
1973,District of Columbia,11,302,734382,41.1
1973,Florida,12,4006,7923830,50.6
1973,Georgia,13,1460,4905290,29.8
1973,Hawaii,15,183,850988,21.5
1973,Idaho,16,183,782170,23.4
1973,Illinois,17,4082,11249495,36.3
1973,Indiana,18,1868,5323335,35.1
1973,Iowa,19,1032,2858165,36.1
1973,Kansas,20,796,2262344,35.2
1973,Kentucky,21,1296,3369509,38.5
1973,Louisiana,22,1390,3787218,36.7
1973,Maine,23,433,1045235,41.4
1973,Maryland,24,1500,4098790,36.6
1973,Massachusetts,25,2226,5771004,38.6
1973,Michigan,26,2998,9059361,33.1
1973,Minnesota,27,1022,3876121,26.4
1973,Mississippi,28,763,2350797,32.5
1973,Missouri,29,1953,4770262,40.9
1973,Montana,30,210,726987,28.9
1973,Nebraska,31,472,1526978,30.9
1973,Nevada,32,189,568252,33.3
1973,New Hampshire,33,302,800313,37.7
1973,New Jersey,34,2920,7321409,39.9
1973,New Mexico,35,236,1104795,21.4
1973,New York,36,7069,18162182,38.9
1973,North Carolina,37,1580,5380033,29.4
1973,North Dakota,38,162,631908,25.6
1973,Ohio,39,3876,10752148,36.0
1973,Oklahoma,40,1104,2693197,41.0
1973,Oregon,41,837,2235886,37.4
1973,Pennsylvania,42,4526,11865647,38.1
1973,Rhode Island,44,391,976062,40.1
1973,South Carolina,45,846,2775712,30.5
1973,South Dakota,46,173,678608,25.5
1973,Tennessee,47,1488,4137128,36.0
1973,Texas,48,4075,12020386,33.9
1973,Utah,49,155,1170108,13.2
1973,Vermont,50,148,467563,31.7
1973,Virginia,51,1732,4901476,35.3
1973,Washington,53,1261,3471792,36.3
1973,West Virginia,54,765,1804276,42.4
1973,Wisconsin,55,1265,4508777,28.1
1973,Wyoming,56,97,353345,27.5
1974,Alabama,1,1306,3627380,36.0
1974,Alaska,2,49,344834,14.2
1974,Arizona,4,702,2225627,31.5
1974,Arkansas,5,963,2100719,45.8
1974,California,6,7653,21173032,36.1
1974,Colorado,8,551,2539958,21.7
1974,Connecticut,9,1120,3070012,36.5
1974,Delaware,10,247,582444,42.4
